"YYYYMMDD","Pday_mm","TmeanDay_C","TminDay_C","TmaxDay_C","Date","Year","Month","Month_Y"
19750223,0,10,3,17,1975-02-23,1975,"Feb","1975-Feb"
19750224,0,8,1,15,1975-02-24,1975,"Feb","1975-Feb"
19750225,0,6.5,-1,14,1975-02-25,1975,"Feb","1975-Feb"
19750226,0,10.8,5.5,16,1975-02-26,1975,"Feb","1975-Feb"
19750227,0,11.2,6,16.5,1975-02-27,1975,"Feb","1975-Feb"
19750228,0,11.5,6,17,1975-02-28,1975,"Feb","1975-Feb"
19750301,8,12.8,7,18.5,1975-03-01,1975,"Mar","1975-Mar"
19750302,0,9.8,3.5,16,1975-03-02,1975,"Mar","1975-Mar"
19750303,0,12,7.5,16.5,1975-03-03,1975,"Mar","1975-Mar"
19750304,0,10.8,6.5,15,1975-03-04,1975,"Mar","1975-Mar"
19750305,0,9.5,4,15,1975-03-05,1975,"Mar","1975-Mar"
19750306,2.5,7.2,-2,16.5,1975-03-06,1975,"Mar","1975-Mar"
19750307,5.6,13.2,8.5,18,1975-03-07,1975,"Mar","1975-Mar"
19750308,15.4,13,8.5,17.5,1975-03-08,1975,"Mar","1975-Mar"
19750309,6.2,9,3,15,1975-03-09,1975,"Mar","1975-Mar"
19750310,3,6.8,0.5,13,1975-03-10,1975,"Mar","1975-Mar"
19750311,1.4,6.8,2,11.5,1975-03-11,1975,"Mar","1975-Mar"
19750312,4.8,6.8,2.5,11,1975-03-12,1975,"Mar","1975-Mar"
19750313,21.7,6.2,3,9.5,1975-03-13,1975,"Mar","1975-Mar"
19750314,0,7,4,10,1975-03-14,1975,"Mar","1975-Mar"
19750315,0,7.8,3,12.5,1975-03-15,1975,"Mar","1975-Mar"
19750316,0,4.5,-2,11,1975-03-16,1975,"Mar","1975-Mar"
19750317,4.7,9.2,3.5,15,1975-03-17,1975,"Mar","1975-Mar"
19750318,6.9,7.2,2.5,12,1975-03-18,1975,"Mar","1975-Mar"
19750319,8.4,4.8,-0.5,10,1975-03-19,1975,"Mar","1975-Mar"
19750320,43.8,2.8,-3,8.5,1975-03-20,1975,"Mar","1975-Mar"
19750321,0,6.5,1,12,1975-03-21,1975,"Mar","1975-Mar"
19750322,16.2,4.8,-4,13.5,1975-03-22,1975,"Mar","1975-Mar"
19750323,15.6,5.2,1,9.5,1975-03-23,1975,"Mar","1975-Mar"
19750324,4.1,8,3.5,12.5,1975-03-24,1975,"Mar","1975-Mar"
19750325,0,10,5,15,1975-03-25,1975,"Mar","1975-Mar"
19750326,0,7.2,-1.5,16,1975-03-26,1975,"Mar","1975-Mar"
19750327,6,12,7.5,16.5,1975-03-27,1975,"Mar","1975-Mar"
19750328,0,9.8,7,12.5,1975-03-28,1975,"Mar","1975-Mar"
19750329,9,8,2.5,13.5,1975-03-29,1975,"Mar","1975-Mar"
19750330,10.2,4.5,-1,10,1975-03-30,1975,"Mar","1975-Mar"
19750331,31.4,3.8,0,7.5,1975-03-31,1975,"Mar","1975-Mar"
19750401,20.3,4.2,-1.5,10,1975-04-01,1975,"Apr","1975-Apr"
19750402,0,5.8,1,10.5,1975-04-02,1975,"Apr","1975-Apr"
19750403,12.2,7.8,2.5,13,1975-04-03,1975,"Apr","1975-Apr"
19750404,4.8,7,1.5,12.5,1975-04-04,1975,"Apr","1975-Apr"
19750405,2,3.5,-3.5,10.5,1975-04-05,1975,"Apr","1975-Apr"
19750406,7.4,5,-4.5,14.5,1975-04-06,1975,"Apr","1975-Apr"
19750407,0,5.2,0,10.5,1975-04-07,1975,"Apr","1975-Apr"
19750408,7.2,6,-3,15,1975-04-08,1975,"Apr","1975-Apr"
19750409,15.8,6.8,3.5,10,1975-04-09,1975,"Apr","1975-Apr"
19750410,4.5,4.8,-1,10.5,1975-04-10,1975,"Apr","1975-Apr"
19750411,0,8.8,2.5,15,1975-04-11,1975,"Apr","1975-Apr"
19750412,0,11.8,5.5,18,1975-04-12,1975,"Apr","1975-Apr"
19750413,0,11.8,1.5,22,1975-04-13,1975,"Apr","1975-Apr"
19750414,0,11.8,3,20.5,1975-04-14,1975,"Apr","1975-Apr"
19750415,0,13.2,10.5,16,1975-04-15,1975,"Apr","1975-Apr"
19750416,0,14.8,10,19.5,1975-04-16,1975,"Apr","1975-Apr"
19750417,10.2,16.8,9.5,24,1975-04-17,1975,"Apr","1975-Apr"
19750418,41.8,15.5,10,21,1975-04-18,1975,"Apr","1975-Apr"
19750419,0,10.5,5,16,1975-04-19,1975,"Apr","1975-Apr"
19750420,0,9.8,4.5,15,1975-04-20,1975,"Apr","1975-Apr"
19750421,14.7,13.8,6,21.5,1975-04-21,1975,"Apr","1975-Apr"
19750422,21.4,11.5,8.5,14.5,1975-04-22,1975,"Apr","1975-Apr"
19750423,0,13.8,7,20.5,1975-04-23,1975,"Apr","1975-Apr"
19750424,0,15,9,21,1975-04-24,1975,"Apr","1975-Apr"
19750425,0,16.8,10,23.5,1975-04-25,1975,"Apr","1975-Apr"
19750426,0,14.8,8.5,21,1975-04-26,1975,"Apr","1975-Apr"
19750427,0,12.8,3,22.5,1975-04-27,1975,"Apr","1975-Apr"
19750428,0,16.2,5.5,27,1975-04-28,1975,"Apr","1975-Apr"
19750429,3.5,16,9,23,1975-04-29,1975,"Apr","1975-Apr"
19750430,0,13.5,7,20,1975-04-30,1975,"Apr","1975-Apr"
19750501,0,13,5,21,1975-05-01,1975,"May","1975-May"
19750502,0,10.8,1,20.5,1975-05-02,1975,"May","1975-May"
19750503,0,9,1.5,16.5,1975-05-03,1975,"May","1975-May"
19750504,0,9.8,4.5,15,1975-05-04,1975,"May","1975-May"
19750505,32,9,5,13,1975-05-05,1975,"May","1975-May"
19750506,6.4,8.2,3,13.5,1975-05-06,1975,"May","1975-May"
19750507,0,10.5,5,16,1975-05-07,1975,"May","1975-May"
19750508,0,13,6,20,1975-05-08,1975,"May","1975-May"
19750509,4.2,12.5,7.5,17.5,1975-05-09,1975,"May","1975-May"
19750510,16.8,11.5,8.5,14.5,1975-05-10,1975,"May","1975-May"
19750511,9.6,10.5,7.5,13.5,1975-05-11,1975,"May","1975-May"
19750512,0,12.5,6,19,1975-05-12,1975,"May","1975-May"
19750513,0,13.5,6.5,20.5,1975-05-13,1975,"May","1975-May"
19750514,0,16.2,8.5,24,1975-05-14,1975,"May","1975-May"
19750515,0,15.5,5.5,25.5,1975-05-15,1975,"May","1975-May"
19750516,0,16.8,9.5,24,1975-05-16,1975,"May","1975-May"
19750517,0,15.5,8,23,1975-05-17,1975,"May","1975-May"
19750518,0,15.2,9.5,21,1975-05-18,1975,"May","1975-May"
19750519,0,17.8,10.5,25,1975-05-19,1975,"May","1975-May"
19750520,0,19.5,10,29,1975-05-20,1975,"May","1975-May"
19750521,1.4,18.5,12,25,1975-05-21,1975,"May","1975-May"
19750522,17.6,16.8,10.5,23,1975-05-22,1975,"May","1975-May"
19750523,0,14.2,8,20.5,1975-05-23,1975,"May","1975-May"
19750524,0,13.2,7.5,19,1975-05-24,1975,"May","1975-May"
19750525,0,11.5,5.5,17.5,1975-05-25,1975,"May","1975-May"
19750526,0,10.8,2.5,19,1975-05-26,1975,"May","1975-May"
19750527,14.4,10.8,6.5,15,1975-05-27,1975,"May","1975-May"
19750528,4.9,11.2,8.5,14,1975-05-28,1975,"May","1975-May"
19750529,0,14.2,7.5,21,1975-05-29,1975,"May","1975-May"
19750530,0,15.2,6.5,24,1975-05-30,1975,"May","1975-May"
19750531,6.2,15,9,21,1975-05-31,1975,"May","1975-May"
19750601,8.4,11.5,5,18,1975-06-01,1975,"Jun","1975-Jun"
19750602,0,10.5,2.5,18.5,1975-06-02,1975,"Jun","1975-Jun"
19750603,0,10.8,1.5,20,1975-06-03,1975,"Jun","1975-Jun"
19750604,0,15.5,5.5,25.5,1975-06-04,1975,"Jun","1975-Jun"
19750605,0,19.8,6.5,33,1975-06-05,1975,"Jun","1975-Jun"
19750606,0,22.5,15,30,1975-06-06,1975,"Jun","1975-Jun"
19750607,0,19.2,12.5,26,1975-06-07,1975,"Jun","1975-Jun"
19750608,0,20,11.5,28.5,1975-06-08,1975,"Jun","1975-Jun"
19750609,1.4,16.8,13.5,20,1975-06-09,1975,"Jun","1975-Jun"
19750610,0,16.5,12,21,1975-06-10,1975,"Jun","1975-Jun"
19750611,0,15,9,21,1975-06-11,1975,"Jun","1975-Jun"
19750612,76.2,17,10,24,1975-06-12,1975,"Jun","1975-Jun"
19750613,0,16.5,9.5,23.5,1975-06-13,1975,"Jun","1975-Jun"
19750614,0,17.2,9,25.5,1975-06-14,1975,"Jun","1975-Jun"
19750615,3.7,15.2,8.5,22,1975-06-15,1975,"Jun","1975-Jun"
19750616,0,15.5,10.5,20.5,1975-06-16,1975,"Jun","1975-Jun"
19750617,0,14.8,9.5,20,1975-06-17,1975,"Jun","1975-Jun"
19750618,0,16.2,9,23.5,1975-06-18,1975,"Jun","1975-Jun"
19750619,0,17.2,6,28.5,1975-06-19,1975,"Jun","1975-Jun"
19750620,0,19.5,8.5,30.5,1975-06-20,1975,"Jun","1975-Jun"
19750621,0,17.8,9.5,26,1975-06-21,1975,"Jun","1975-Jun"
19750622,0,17.8,9,26.5,1975-06-22,1975,"Jun","1975-Jun"
19750623,0,18.2,12.5,24,1975-06-23,1975,"Jun","1975-Jun"
19750624,0,18.2,10,26.5,1975-06-24,1975,"Jun","1975-Jun"
19750625,0,20.2,11.5,29,1975-06-25,1975,"Jun","1975-Jun"
19750626,0,21,14.5,27.5,1975-06-26,1975,"Jun","1975-Jun"
19750627,0,20.5,13,28,1975-06-27,1975,"Jun","1975-Jun"
19750628,0,23.5,17,30,1975-06-28,1975,"Jun","1975-Jun"
19750629,0,21.8,15.5,28,1975-06-29,1975,"Jun","1975-Jun"
19750630,0,20.8,16.5,25,1975-06-30,1975,"Jun","1975-Jun"
19750701,0,16.2,6,26.5,1975-07-01,1975,"Jul","1975-Jul"
19750702,0,19,7,31,1975-07-02,1975,"Jul","1975-Jul"
19750703,0,19.2,11.5,27,1975-07-03,1975,"Jul","1975-Jul"
19750704,0,17.2,9.5,25,1975-07-04,1975,"Jul","1975-Jul"
19750705,0,17,8,26,1975-07-05,1975,"Jul","1975-Jul"
19750706,0,19.8,8.5,31,1975-07-06,1975,"Jul","1975-Jul"
19750707,0,23.5,15,32,1975-07-07,1975,"Jul","1975-Jul"
19750708,0,19.2,11.5,27,1975-07-08,1975,"Jul","1975-Jul"
19750709,0,18.2,8.5,28,1975-07-09,1975,"Jul","1975-Jul"
19750710,0,20.5,14,27,1975-07-10,1975,"Jul","1975-Jul"
19750711,0,20.2,13,27.5,1975-07-11,1975,"Jul","1975-Jul"
19750712,0,21.2,10.5,32,1975-07-12,1975,"Jul","1975-Jul"
19750713,0,27,15,39,1975-07-13,1975,"Jul","1975-Jul"
19750714,0,19.5,10,29,1975-07-14,1975,"Jul","1975-Jul"
19750715,0,19.5,12,27,1975-07-15,1975,"Jul","1975-Jul"
19750716,0,21.5,14.5,28.5,1975-07-16,1975,"Jul","1975-Jul"
19750717,0,21.8,15.5,28,1975-07-17,1975,"Jul","1975-Jul"
19750718,0,18.5,11,26,1975-07-18,1975,"Jul","1975-Jul"
19750719,0,18.8,8.5,29,1975-07-19,1975,"Jul","1975-Jul"
19750720,0,18.8,9,28.5,1975-07-20,1975,"Jul","1975-Jul"
19750721,0,19.2,10.5,28,1975-07-21,1975,"Jul","1975-Jul"
19750722,0,19.8,15.5,24,1975-07-22,1975,"Jul","1975-Jul"
19750723,0,20.5,16,25,1975-07-23,1975,"Jul","1975-Jul"
19750724,0,20.2,14,26.5,1975-07-24,1975,"Jul","1975-Jul"
19750725,0,20,15.5,24.5,1975-07-25,1975,"Jul","1975-Jul"
19750726,0,19.5,10,29,1975-07-26,1975,"Jul","1975-Jul"
19750727,0,20.2,10.5,30,1975-07-27,1975,"Jul","1975-Jul"
19750728,0,21.2,13,29.5,1975-07-28,1975,"Jul","1975-Jul"
19750729,0,22.5,12.5,32.5,1975-07-29,1975,"Jul","1975-Jul"
19750730,4,26.5,17,36,1975-07-30,1975,"Jul","1975-Jul"
19750731,0,27.8,17,38.5,1975-07-31,1975,"Jul","1975-Jul"
19750801,1.5,24.2,15,33.5,1975-08-01,1975,"Aug","1975-Aug"
19750802,5,25.8,16,35.5,1975-08-02,1975,"Aug","1975-Aug"
19750803,7,25.8,15,36.5,1975-08-03,1975,"Aug","1975-Aug"
19750804,3,24.5,15.5,33.5,1975-08-04,1975,"Aug","1975-Aug"
19750805,0,22.5,16,29,1975-08-05,1975,"Aug","1975-Aug"
19750806,0,25.8,18,33.5,1975-08-06,1975,"Aug","1975-Aug"
19750807,0,25,18,32,1975-08-07,1975,"Aug","1975-Aug"
19750808,0,23.8,17,30.5,1975-08-08,1975,"Aug","1975-Aug"
19750809,0,21,16,26,1975-08-09,1975,"Aug","1975-Aug"
19750810,0,19,10,28,1975-08-10,1975,"Aug","1975-Aug"
19750811,0,17.5,8,27,1975-08-11,1975,"Aug","1975-Aug"
19750812,0,18.8,11.5,26,1975-08-12,1975,"Aug","1975-Aug"
19750813,0,19,10,28,1975-08-13,1975,"Aug","1975-Aug"
19750814,0,20,13,27,1975-08-14,1975,"Aug","1975-Aug"
19750815,0,21.2,14,28.5,1975-08-15,1975,"Aug","1975-Aug"
19750816,0,21.2,13.5,29,1975-08-16,1975,"Aug","1975-Aug"
19750817,0,22.8,14.5,31,1975-08-17,1975,"Aug","1975-Aug"
19750818,0,22.5,15,30,1975-08-18,1975,"Aug","1975-Aug"
19750819,0,21.8,11.5,32,1975-08-19,1975,"Aug","1975-Aug"
19750820,4.6,23.8,14.5,33,1975-08-20,1975,"Aug","1975-Aug"
19750821,0,20.8,18,23.5,1975-08-21,1975,"Aug","1975-Aug"
19750822,10,16.2,11.5,21,1975-08-22,1975,"Aug","1975-Aug"
19750823,0,16.8,12,21.5,1975-08-23,1975,"Aug","1975-Aug"
19750824,0,15.8,9.5,22,1975-08-24,1975,"Aug","1975-Aug"
19750825,4.6,17.2,10.5,24,1975-08-25,1975,"Aug","1975-Aug"
19750826,0,17,12,22,1975-08-26,1975,"Aug","1975-Aug"
19750827,0,17.2,13,21.5,1975-08-27,1975,"Aug","1975-Aug"
19750828,0,18.8,9,28.5,1975-08-28,1975,"Aug","1975-Aug"
19750829,0,20.5,11,30,1975-08-29,1975,"Aug","1975-Aug"
19750830,3.8,20.5,15,26,1975-08-30,1975,"Aug","1975-Aug"
19750831,7,16.8,14,19.5,1975-08-31,1975,"Aug","1975-Aug"
19750901,5.4,15.5,11,20,1975-09-01,1975,"Sep","1975-Sep"
19750902,0,18,12,24,1975-09-02,1975,"Sep","1975-Sep"
19750903,0,18.5,11,26,1975-09-03,1975,"Sep","1975-Sep"
19750904,0,18.8,10.5,27,1975-09-04,1975,"Sep","1975-Sep"
19750905,26,19.2,12,26.5,1975-09-05,1975,"Sep","1975-Sep"
19750906,0,19,15.5,22.5,1975-09-06,1975,"Sep","1975-Sep"
19750907,0,18,13,23,1975-09-07,1975,"Sep","1975-Sep"
19750908,0,16.8,10,23.5,1975-09-08,1975,"Sep","1975-Sep"
19750909,0,18,11,25,1975-09-09,1975,"Sep","1975-Sep"
19750910,0,17.2,10.5,24,1975-09-10,1975,"Sep","1975-Sep"
19750911,0,17.5,14,21,1975-09-11,1975,"Sep","1975-Sep"
19750912,0,16.5,9,24,1975-09-12,1975,"Sep","1975-Sep"
19750913,21.2,17.8,8.5,27,1975-09-13,1975,"Sep","1975-Sep"
19750914,26.4,16.2,9.5,23,1975-09-14,1975,"Sep","1975-Sep"
19750915,19,12,8,16,1975-09-15,1975,"Sep","1975-Sep"
19750916,0,12.8,7.5,18,1975-09-16,1975,"Sep","1975-Sep"
19750917,0,15,8,22,1975-09-17,1975,"Sep","1975-Sep"
19750918,0,14.2,6,22.5,1975-09-18,1975,"Sep","1975-Sep"
19750919,0,15.5,6.5,24.5,1975-09-19,1975,"Sep","1975-Sep"
19750920,0,15.5,7,24,1975-09-20,1975,"Sep","1975-Sep"
19750921,0,14.8,7.5,22,1975-09-21,1975,"Sep","1975-Sep"
19750922,0,16.2,8,24.5,1975-09-22,1975,"Sep","1975-Sep"
19750923,0,15.8,6.5,25,1975-09-23,1975,"Sep","1975-Sep"
19750924,0,18,11,25,1975-09-24,1975,"Sep","1975-Sep"
19750925,0,19,12,26,1975-09-25,1975,"Sep","1975-Sep"
19750926,0,17.5,12.5,22.5,1975-09-26,1975,"Sep","1975-Sep"
19750927,0,21,15.5,26.5,1975-09-27,1975,"Sep","1975-Sep"
19750928,0,22.8,18.5,27,1975-09-28,1975,"Sep","1975-Sep"
19750929,0,21.8,17,26.5,1975-09-29,1975,"Sep","1975-Sep"
19750930,0,17,13,21,1975-09-30,1975,"Sep","1975-Sep"
19751001,0,20.8,13,28.5,1975-10-01,1975,"Oct","1975-Oct"
19751002,0,17,10.5,23.5,1975-10-02,1975,"Oct","1975-Oct"
19751003,0,16.5,13,20,1975-10-03,1975,"Oct","1975-Oct"
19751004,0,14.2,8,20.5,1975-10-04,1975,"Oct","1975-Oct"
19751005,0,13.8,6.5,21,1975-10-05,1975,"Oct","1975-Oct"
19751006,0,14.2,4,24.5,1975-10-06,1975,"Oct","1975-Oct"
19751007,0,17,11,23,1975-10-07,1975,"Oct","1975-Oct"
19751008,0,15.5,12.5,18.5,1975-10-08,1975,"Oct","1975-Oct"
19751009,4.2,14.5,12,17,1975-10-09,1975,"Oct","1975-Oct"
19751010,0,13,10.5,15.5,1975-10-10,1975,"Oct","1975-Oct"
19751011,31.2,11.8,7.5,16,1975-10-11,1975,"Oct","1975-Oct"
19751012,62.8,7.8,3,12.5,1975-10-12,1975,"Oct","1975-Oct"
19751013,0,7.5,-1,16,1975-10-13,1975,"Oct","1975-Oct"
19751014,0,13.5,8,19,1975-10-14,1975,"Oct","1975-Oct"
19751015,9.8,11,4.5,17.5,1975-10-15,1975,"Oct","1975-Oct"
19751016,17.2,11.5,5,18,1975-10-16,1975,"Oct","1975-Oct"
19751017,8.7,10.5,6,15,1975-10-17,1975,"Oct","1975-Oct"
19751018,0,11,6,16,1975-10-18,1975,"Oct","1975-Oct"
19751019,0,11,4,18,1975-10-19,1975,"Oct","1975-Oct"
19751020,0,10,1,19,1975-10-20,1975,"Oct","1975-Oct"
19751021,0,14,8,20,1975-10-21,1975,"Oct","1975-Oct"
19751022,0,16.2,11.5,21,1975-10-22,1975,"Oct","1975-Oct"
19751023,0,17.5,12,23,1975-10-23,1975,"Oct","1975-Oct"
19751024,0,14.5,8,21,1975-10-24,1975,"Oct","1975-Oct"
19751025,0,14.8,9.5,20,1975-10-25,1975,"Oct","1975-Oct"
19751026,0,14.2,7,21.5,1975-10-26,1975,"Oct","1975-Oct"
19751027,0,14.5,9,20,1975-10-27,1975,"Oct","1975-Oct"
19751028,0,15.5,10,21,1975-10-28,1975,"Oct","1975-Oct"
19751029,0,16,12,20,1975-10-29,1975,"Oct","1975-Oct"
19751030,0,16.2,11,21.5,1975-10-30,1975,"Oct","1975-Oct"
19751031,0,16.2,12.5,20,1975-10-31,1975,"Oct","1975-Oct"
19751101,14.4,10.5,6,15,1975-11-01,1975,"Nov","1975-Nov"
19751102,5.3,8.5,5,12,1975-11-02,1975,"Nov","1975-Nov"
19751103,19.6,11,6,16,1975-11-03,1975,"Nov","1975-Nov"
19751104,0,12.2,8,16.5,1975-11-04,1975,"Nov","1975-Nov"
19751105,9.5,9.2,3.5,15,1975-11-05,1975,"Nov","1975-Nov"
19751106,0,8,2.5,13.5,1975-11-06,1975,"Nov","1975-Nov"
19751107,12.8,9.2,5.5,13,1975-11-07,1975,"Nov","1975-Nov"
19751108,9.3,6.8,3.5,10,1975-11-08,1975,"Nov","1975-Nov"
19751109,0,5.8,-1,12.5,1975-11-09,1975,"Nov","1975-Nov"
19751110,0,5.2,-3.5,14,1975-11-10,1975,"Nov","1975-Nov"
19751111,0,9.5,4,15,1975-11-11,1975,"Nov","1975-Nov"
19751112,0,14.2,9,19.5,1975-11-12,1975,"Nov","1975-Nov"
19751113,0,11.8,5,18.5,1975-11-13,1975,"Nov","1975-Nov"
19751114,0,10,2,18,1975-11-14,1975,"Nov","1975-Nov"
19751115,8.4,10,1.5,18.5,1975-11-15,1975,"Nov","1975-Nov"
19751116,61.3,10.8,8,13.5,1975-11-16,1975,"Nov","1975-Nov"
19751117,23,5.5,2.5,8.5,1975-11-17,1975,"Nov","1975-Nov"
19751118,32.4,5.5,2,9,1975-11-18,1975,"Nov","1975-Nov"
19751119,0,8,4,12,1975-11-19,1975,"Nov","1975-Nov"
19751120,6.2,10,5,15,1975-11-20,1975,"Nov","1975-Nov"
19751121,18.4,7.8,0.5,15,1975-11-21,1975,"Nov","1975-Nov"
19751122,0,7.8,2.5,13,1975-11-22,1975,"Nov","1975-Nov"
19751123,0,3,-5,11,1975-11-23,1975,"Nov","1975-Nov"
19751124,0,5.8,0,11.5,1975-11-24,1975,"Nov","1975-Nov"
19751125,0,9.8,6,13.5,1975-11-25,1975,"Nov","1975-Nov"
19751126,4,4,-1.5,9.5,1975-11-26,1975,"Nov","1975-Nov"
19751127,9.3,6,0,12,1975-11-27,1975,"Nov","1975-Nov"
19751128,0,10,4.5,15.5,1975-11-28,1975,"Nov","1975-Nov"
19751129,6.4,11.2,7.5,15,1975-11-29,1975,"Nov","1975-Nov"
19751130,21.3,5,-1,11,1975-11-30,1975,"Nov","1975-Nov"
19751201,0,7.8,4,11.5,1975-12-01,1975,"Dec","1975-Dec"
19751202,12.3,9,5,13,1975-12-02,1975,"Dec","1975-Dec"
19751203,20.2,6.2,2.5,10,1975-12-03,1975,"Dec","1975-Dec"
19751204,0,7.2,3.5,11,1975-12-04,1975,"Dec","1975-Dec"
19751205,0,7.8,4,11.5,1975-12-05,1975,"Dec","1975-Dec"
19751206,0,9.5,6,13,1975-12-06,1975,"Dec","1975-Dec"
19751207,0,8,4,12,1975-12-07,1975,"Dec","1975-Dec"
19751208,0,7.5,2.5,12.5,1975-12-08,1975,"Dec","1975-Dec"
19751209,0,6.8,3,10.5,1975-12-09,1975,"Dec","1975-Dec"
19751210,0,7.5,3,12,1975-12-10,1975,"Dec","1975-Dec"
19751211,0,6,0,12,1975-12-11,1975,"Dec","1975-Dec"
19751212,2.3,8.5,6,11,1975-12-12,1975,"Dec","1975-Dec"
19751213,3,6.2,2.5,10,1975-12-13,1975,"Dec","1975-Dec"
19751214,9.4,6,2.5,9.5,1975-12-14,1975,"Dec","1975-Dec"
19751215,12,5.8,1.5,10,1975-12-15,1975,"Dec","1975-Dec"
19751216,0,7.8,2.5,13,1975-12-16,1975,"Dec","1975-Dec"
19751217,11,3.5,-3,10,1975-12-17,1975,"Dec","1975-Dec"
19751218,0,5.5,1.5,9.5,1975-12-18,1975,"Dec","1975-Dec"
19751219,0,4,0.5,7.5,1975-12-19,1975,"Dec","1975-Dec"
19751220,0,4,0,8,1975-12-20,1975,"Dec","1975-Dec"
19751221,0,4.5,1,8,1975-12-21,1975,"Dec","1975-Dec"
19751222,0,6.5,3,10,1975-12-22,1975,"Dec","1975-Dec"
19751223,0,0.5,-8,9,1975-12-23,1975,"Dec","1975-Dec"
19751224,0,-1,-8.5,6.5,1975-12-24,1975,"Dec","1975-Dec"
19751225,0,3.5,-1,8,1975-12-25,1975,"Dec","1975-Dec"
19751226,0,7.2,2,12.5,1975-12-26,1975,"Dec","1975-Dec"
19751227,0,5,0,10,1975-12-27,1975,"Dec","1975-Dec"
19751228,0,2.2,-4.5,9,1975-12-28,1975,"Dec","1975-Dec"
19751229,0,3.8,-1.5,9,1975-12-29,1975,"Dec","1975-Dec"
19751230,0,2.2,-5.5,10,1975-12-30,1975,"Dec","1975-Dec"
19751231,0,2,-5,9,1975-12-31,1975,"Dec","1975-Dec"
19760101,0,2.8,-5,10.5,1976-01-01,1976,"Jan","1976-Jan"
19760102,0,2.8,-5.5,11,1976-01-02,1976,"Jan","1976-Jan"
19760103,0,2,-7,11,1976-01-03,1976,"Jan","1976-Jan"
19760104,0,7.5,2,13,1976-01-04,1976,"Jan","1976-Jan"
19760105,0,7,1,13,1976-01-05,1976,"Jan","1976-Jan"
19760106,0,3.2,-5,11.5,1976-01-06,1976,"Jan","1976-Jan"
19760107,0,2.8,-6,11.5,1976-01-07,1976,"Jan","1976-Jan"
19760108,0,6.5,-2,15,1976-01-08,1976,"Jan","1976-Jan"
19760109,0,4,-4,12,1976-01-09,1976,"Jan","1976-Jan"
19760110,0,6,2,10,1976-01-10,1976,"Jan","1976-Jan"
19760111,0,7,3,11,1976-01-11,1976,"Jan","1976-Jan"
19760112,0,8.2,5,11.5,1976-01-12,1976,"Jan","1976-Jan"
19760113,0,7.8,5.5,10,1976-01-13,1976,"Jan","1976-Jan"
19760114,0,4,-3,11,1976-01-14,1976,"Jan","1976-Jan"
19760115,0,5.8,1,10.5,1976-01-15,1976,"Jan","1976-Jan"
19760116,0,2,-6,10,1976-01-16,1976,"Jan","1976-Jan"
19760117,0,1.2,-7,9.5,1976-01-17,1976,"Jan","1976-Jan"
19760118,0,6,2,10,1976-01-18,1976,"Jan","1976-Jan"
19760119,0,5.2,1,9.5,1976-01-19,1976,"Jan","1976-Jan"
19760120,0,5.5,-1,12,1976-01-20,1976,"Jan","1976-Jan"
19760121,0,7.2,3,11.5,1976-01-21,1976,"Jan","1976-Jan"
19760122,0,8,4,12,1976-01-22,1976,"Jan","1976-Jan"
19760123,9.4,7.2,3,11.5,1976-01-23,1976,"Jan","1976-Jan"
19760124,19.2,6,4,8,1976-01-24,1976,"Jan","1976-Jan"
19760125,29.3,4.5,0,9,1976-01-25,1976,"Jan","1976-Jan"
19760126,46.7,2,-2,6,1976-01-26,1976,"Jan","1976-Jan"
19760127,11.2,1.2,-2.5,5,1976-01-27,1976,"Jan","1976-Jan"
19760128,0,3.5,-1,8,1976-01-28,1976,"Jan","1976-Jan"
19760129,0,5,0.5,9.5,1976-01-29,1976,"Jan","1976-Jan"
19760130,0,7.2,3.5,11,1976-01-30,1976,"Jan","1976-Jan"
19760131,22.3,8.8,5,12.5,1976-01-31,1976,"Jan","1976-Jan"
19760201,12.4,5.5,1,10,1976-02-01,1976,"Feb","1976-Feb"
19760202,0,4.5,-2,11,1976-02-02,1976,"Feb","1976-Feb"
19760203,0,7.8,4,11.5,1976-02-03,1976,"Feb","1976-Feb"
19760204,12.5,7.8,3.5,12,1976-02-04,1976,"Feb","1976-Feb"
19760205,0,9.2,5,13.5,1976-02-05,1976,"Feb","1976-Feb"
19760206,2.4,8.5,4.5,12.5,1976-02-06,1976,"Feb","1976-Feb"
19760207,0,9,5,13,1976-02-07,1976,"Feb","1976-Feb"
19760208,0,5.5,-2.5,13.5,1976-02-08,1976,"Feb","1976-Feb"
19760209,11.3,6.5,3,10,1976-02-09,1976,"Feb","1976-Feb"
19760210,10,9.2,4.5,14,1976-02-10,1976,"Feb","1976-Feb"
19760211,3,8,5,11,1976-02-11,1976,"Feb","1976-Feb"
19760212,3.2,6.2,1,11.5,1976-02-12,1976,"Feb","1976-Feb"
19760213,20.8,6.8,3,10.5,1976-02-13,1976,"Feb","1976-Feb"
19760214,0,6.2,3.5,9,1976-02-14,1976,"Feb","1976-Feb"
19760215,0,6,2.5,9.5,1976-02-15,1976,"Feb","1976-Feb"
19760216,0,3.5,0,7,1976-02-16,1976,"Feb","1976-Feb"
19760217,0,4,-4.5,12.5,1976-02-17,1976,"Feb","1976-Feb"
19760218,0,8.2,1.5,15,1976-02-18,1976,"Feb","1976-Feb"
19760219,0,9,3.5,14.5,1976-02-19,1976,"Feb","1976-Feb"
19760220,0,10.8,6,15.5,1976-02-20,1976,"Feb","1976-Feb"
